estimate,se,var,archetype,flow,panel,outcome,n,estimate_adj,outcome_role
-0.0178376675936101,0.00892094057185732,pc1_dummy,SC_Specialized,abandonment,B,delta_importance,18632210,0.0178376675936101,delta_importance
-0.0727067257203912,0.0131075432112264,pc1_up,Physical_Terminal,abandonment,B,delta_importance,18632210,0.0727067257203912,delta_importance
0.0353997298312349,0.0069607186028253,pc1_up,SC_General,abandonment,B,delta_importance,18632210,-0.0353997298312349,delta_importance
0.0152400616770328,0.00770828609393961,pc1_up,SC_Specialized,abandonment,B,delta_importance,18632210,-0.0152400616770328,delta_importance
-0.0339826827850913,0.00630756297805507,pc1_down,Physical_Terminal,abandonment,B,delta_importance,18632210,0.0339826827850913,delta_importance
0.0272751872644032,0.0075399203968826,pc1_down,SC_General,abandonment,B,delta_importance,18632210,-0.0272751872644032,delta_importance
0.0422278018876371,0.00924412069684702,pc1_down,SC_Specialized,abandonment,B,delta_importance,18632210,-0.0422278018876371,delta_importance
-0.321680583441285,0.0522255465328635,structural_distance,Physical_Terminal,abandonment,B,delta_importance,18632210,0.321680583441285,delta_importance
-0.269231125718213,0.0425454910741885,structural_distance,SC_General,abandonment,B,delta_importance,18632210,0.269231125718213,delta_importance
-0.262879236884585,0.0532516082810083,structural_distance,SC_Specialized,abandonment,B,delta_importance,18632210,0.262879236884585,delta_importance
