gap_bin,gap_mid,atc_archetype,rate,ci_lo,ci_hi,n,threshold,flow
2,-2.88282979680337,Physical_Terminal,0.152036591677068,0.150240494383391,0.154265921337027,131396,1.1,Adoption
10,4.58359589402531,Physical_Terminal,0.0103663958914101,0.0102286491101275,0.0105135237752665,1801494,1.1,Adoption
1,-4.68844749231167,Physical_Terminal,0.142623978427221,0.140405494908398,0.145078414211541,84551,1.1,Adoption
6,0.126166102556859,SC_Specialized,0.0386959622189632,0.0378256618633084,0.0394746579120864,222969,1.25,Adoption
4,-1.30164794064186,SC_Specialized,0.0331279464504251,0.0324444763698667,0.0338093768512311,281907,1.25,Adoption
5,-0.57205401518073,SC_Specialized,0.0372829859479053,0.0366285125536307,0.0380577876881541,265939,1.25,Adoption
3,-2.06803862642912,SC_Specialized,0.0276314314538729,0.0269664675644947,0.0282201306708088,249788,1.25,Adoption
2,-2.88282979680337,SC_Specialized,0.0230031651461553,0.0223650158257308,0.0235759169614597,214840,1.25,Adoption
1,-4.68844749231167,SC_Specialized,0.0126691765614442,0.0122328410078193,0.0131115937831837,258975,1.25,Adoption
7,0.861759087300788,SC_Specialized,0.0392676937741538,0.0383837821316452,0.0400400965632997,193034,1.25,Adoption
8,1.68512074777628,SC_Specialized,0.0357507202114759,0.03485887704755,0.0367036770886133,155857,1.25,Adoption
9,2.60985316263842,SC_Specialized,0.0317938224690636,0.0308338205203157,0.0329343271947774,102630,1.25,Adoption
10,4.58359589402531,SC_Specialized,0.0255374747594726,0.0242601061091975,0.0268148434097478,50514,1.25,Adoption
4,-1.30164794064186,SC_General,0.0310987824084427,0.0303705589311459,0.031896116934467,210169,1.25,Adoption
5,-0.57205401518073,SC_General,0.0336008533550058,0.0327830548077412,0.0344167470919896,196870,1.25,Adoption
3,-2.06803862642912,SC_General,0.0289012616846299,0.0281345456402922,0.0296677223272207,195770,1.25,Adoption
2,-2.88282979680337,SC_General,0.0234653884111095,0.0228026223036797,0.0242382630762724,177325,1.25,Adoption
1,-4.68844749231167,SC_General,0.0161884245862931,0.0156384174385417,0.016750632206289,202861,1.25,Adoption
6,0.126166102556859,SC_General,0.0339568485320231,0.0330354102308385,0.0347963440441731,164444,1.25,Adoption
7,0.861759087300788,SC_General,0.0345634720976527,0.0335967522003223,0.0356246217341529,137139,1.25,Adoption
8,1.68512074777628,SC_General,0.0339942460090776,0.0329293941691507,0.0351946386099023,96281,1.25,Adoption
9,2.60985316263842,SC_General,0.0350625674790704,0.0336373210145312,0.0366201171702154,56499,1.25,Adoption
10,4.58359589402531,SC_General,0.0326751054852321,0.0307831223628692,0.0346329113924051,29625,1.25,Adoption
9,2.60985316263842,Physical_Terminal,0.0126231314746043,0.0124471226279901,0.0127907872291184,1304906,1.25,Adoption
7,0.861759087300788,Physical_Terminal,0.0850195892984718,0.0844894324569633,0.0855892171145129,786654,1.25,Adoption
8,1.68512074777628,Physical_Terminal,0.0394897357461394,0.0391458740279365,0.0398597878966572,1085320,1.25,Adoption
6,0.126166102556859,Physical_Terminal,0.116907093907438,0.116172471890682,0.117691700854602,607183,1.25,Adoption
5,-0.57205401518073,Physical_Terminal,0.128553270588581,0.127481258617607,0.129627241802405,408321,1.25,Adoption
3,-2.06803862642912,Physical_Terminal,0.103086041621827,0.10147182993659,0.104894993460373,120802,1.25,Adoption
4,-1.30164794064186,Physical_Terminal,0.118374550527923,0.11703988803359,0.119753004916135,227211,1.25,Adoption
2,-2.88282979680337,Physical_Terminal,0.0893113614029783,0.0871862952604127,0.0912780003527604,79374,1.25,Adoption
